location_id,place_id,attestation,latitude,longitude
loc_0373,yrdb299,ds_1393,34.51388889,109.7670028
loc_0374,yrdb300,us_70305,36.14285335,108.3999514
loc_0375,yrdb300,us_70463,36.21395918,108.4421389
loc_0376,yrdb300,us_80590,36.25661543,108.4853461
loc_0377,yrdb302,us_40292,35.60596285,110.867433
loc_0378,yrdb303,us_40043,34.57332845,110.040927
loc_0379,yrdb303,ds_991,34.56923333,110.0808889
loc_0380,yrdb305,ds_871,33.82250833,118.4078028
loc_0381,yrdb306,ds_231,34.69205556,116.29315
loc_0382,yrdb306,ds_254,34.59143056,115.9894944
loc_0383,yrdb306,ds_351,34.78333333,116.1333333
loc_0384,yrdb306,ds_361,34.39795556,115.8651889
loc_0385,yrdb306,ds_467,34.60895278,115.924525
loc_0386,yrdb306,ds_548,,
loc_0387,yrdb306,ds_562,34.60961389,116.2415972
loc_0388,yrdb306,ds_749,,
loc_0389,yrdb306,ds_904,34.77975556,116.0995694
loc_0390,yrdb306,ds_792,34.52577222,115.9280444
loc_0391,yrdb308,ds_108,34.23333333,117.55
loc_0392,yrdb309,ds_110,33.82704444,118.5719722
loc_0393,yrdb310,ds_109,34.68333333,117.4
loc_0394,yrdb311,ds_107,34.8,116.0666667
loc_0395,yrdb311,ds_904,34.77975556,116.0995694
loc_0396,yrdb312,ds_107,34.8,116.0666667
loc_0397,yrdb312,ds_903,34.77975556,116.0995694
loc_0398,yrdb313,ds_111,,
loc_0399,yrdb314,ds_1092,36.07261667,115.1995306
loc_0400,yrdb315,ds_1626,,
loc_0401,yrdb316,us_81008,36.58392781,112.5782857
loc_0402,yrdb317,us_80775,36.67935462,111.6785471
loc_0403,yrdb317,ds_425,38.08831389,106.3271361
loc_0404,yrdb318,ds_1454,26.64466111,118.1730556
loc_0405,yrdb319,ds_1091,35.3972,115.3164
loc_0406,yrdb320,us_80366,36.59263644,103.2865184
loc_0407,yrdb320,us_70360,36.62126045,103.342505
loc_0408,yrdb322,ds_502,37.3726,115.3476
loc_0409,yrdb322,ds_672,,
loc_0410,yrdb322,ds_687,37.3726,115.3476
loc_0411,yrdb322,ds_1089,37.36,115.3606722
loc_0412,yrdb323,ds_423,33.55461389,119.0717806
loc_0413,yrdb325,us_80323,36.46437889,101.4769933
loc_0414,yrdb325,us_70364,36.46817018,101.5108892
loc_0415,yrdb326,us_40144,39.47388834,113.1314782
loc_0416,yrdb327,ds_1627,29.45095,116.0583861
loc_0417,yrdb328,us_70372,34.98989225,111.8485831
loc_0418,yrdb328,us_80015,34.99222702,111.8397737
loc_0419,yrdb330,us_80805,35.68418927,111.301384
loc_0420,yrdb331,us_80912,35.58989848,111.6035689
loc_0421,yrdb332,ds_426,36.31441389,115.212075
loc_0422,yrdb333,ds_1090,34.79814167,114.30175
